repository,vuln_id,severity,description,data_source,package_name,package_version,package_type
claude-cookbooks,GHSA-c427-h43c-vf67,Medium,AIOHTTP accepts duplicate Host headers,https://github.com/advisories/GHSA-c427-h43c-vf67,aiohttp,3.13.2,python
claude-cookbooks,GHSA-6mq8-rvhq-8wgg,High,AIOHTTP's HTTP Parser auto_decompress feature is vulnerable to zip bomb,https://github.com/advisories/GHSA-6mq8-rvhq-8wgg,aiohttp,3.13.2,python
claude-cookbooks,GHSA-c67j-w6g6-q2cm,Critical,LangChain serialization injection vulnerability enables secret extraction in dumps/loads APIs,https://github.com/advisories/GHSA-c67j-w6g6-q2cm,langchain-core,1.1.0,python
claude-cookbooks,GHSA-fqwm-6jpj-5wxc,High,Tornado has cookie attribute injection via .RequestHandler.set_cookie,https://github.com/advisories/GHSA-fqwm-6jpj-5wxc,tornado,6.5.2,python
claude-cookbooks,GHSA-6jhg-hg63-jvvf,Medium,AIOHTTP vulnerable to  denial of service through large payloads,https://github.com/advisories/GHSA-6jhg-hg63-jvvf,aiohttp,3.13.2,python
claude-cookbooks,GHSA-jj3x-wxrx-4x23,Medium,AIOHTTP vulnerable to DoS when bypassing asserts,https://github.com/advisories/GHSA-jj3x-wxrx-4x23,aiohttp,3.13.2,python
claude-cookbooks,GHSA-p998-jp59-783m,Medium,AIOHTTP affected by UNC SSRF/NTLMv2 Credential Theft/Local File Read in static resource handler on Windows,https://github.com/advisories/GHSA-p998-jp59-783m,aiohttp,3.13.2,python
claude-cookbooks,GHSA-m5qp-6w8w-w647,Medium,AIOHTTP has a Multipart Header Size Bypass,https://github.com/advisories/GHSA-m5qp-6w8w-w647,aiohttp,3.13.2,python
claude-cookbooks,GHSA-w2fm-2cpv-w7v5,Medium,"aiohttp allows unlimited trailer headers, leading to possible uncapped memory usage",https://github.com/advisories/GHSA-w2fm-2cpv-w7v5,aiohttp,3.13.2,python
claude-cookbooks,GHSA-g84x-mcqj-x9qq,Medium,AIOHTTP vulnerable to DoS through chunked messages,https://github.com/advisories/GHSA-g84x-mcqj-x9qq,aiohttp,3.13.2,python
claude-cookbooks,GHSA-gm62-xv2j-4w53,High,urllib3 allows an unbounded number of links in the decompression chain,https://github.com/advisories/GHSA-gm62-xv2j-4w53,urllib3,2.5.0,python
claude-cookbooks,GHSA-926x-3r5x-gfhw,Medium,LangChain has incomplete f-string validation in prompt templates,https://github.com/advisories/GHSA-926x-3r5x-gfhw,langchain-core,1.1.0,python
claude-cookbooks,GHSA-2xpw-w6gg-jr37,High,urllib3 streaming API improperly handles highly compressed data,https://github.com/advisories/GHSA-2xpw-w6gg-jr37,urllib3,2.5.0,python
claude-cookbooks,GHSA-63hf-3vf5-4wqf,Low,AIOHTTP's C parser (llhttp) accepts null bytes and control characters in response header values - header injection/security bypass,https://github.com/advisories/GHSA-63hf-3vf5-4wqf,aiohttp,3.13.2,python
claude-cookbooks,GHSA-qjxf-f2mg-c6mc,High,Tornado is vulnerable to DoS due to too many multipart parts,https://github.com/advisories/GHSA-qjxf-f2mg-c6mc,tornado,6.5.2,python
claude-cookbooks,GHSA-4c99-qj7h-p3vg,Medium,nbconvert has an Arbitrary File Write via Path Traversal in Cell Attachment Filenames,https://github.com/advisories/GHSA-4c99-qj7h-p3vg,nbconvert,7.16.6,python
claude-cookbooks,GHSA-38jv-5279-wg99,High,Decompression-bomb safeguards bypassed when following HTTP redirects (streaming API),https://github.com/advisories/GHSA-38jv-5279-wg99,urllib3,2.5.0,python
claude-cookbooks,GHSA-qh6h-p6c9-ff54,High,LangChain Core has Path Traversal vulnerabilites in legacy `load_prompt` functions,https://github.com/advisories/GHSA-qh6h-p6c9-ff54,langchain-core,1.1.0,python
claude-cookbooks,GHSA-7jqv-fw35-gmx9,Medium,nbconvert has an Arbitrary File Read via Path Traversal in HTMLExporter Image Embedding,https://github.com/advisories/GHSA-7jqv-fw35-gmx9,nbconvert,7.16.6,python
claude-cookbooks,GHSA-hx9q-6w63-j58v,High,orjson does not limit recursion for deeply nested JSON documents,https://github.com/advisories/GHSA-hx9q-6w63-j58v,orjson,3.11.4,python
claude-cookbooks,GHSA-54jq-c3m8-4m76,Low,AIOHTTP vulnerable to brute-force leak of internal static ﬁle path components,https://github.com/advisories/GHSA-54jq-c3m8-4m76,aiohttp,3.13.2,python
claude-cookbooks,GHSA-cfh3-3jmp-rvhc,High,Pillow affected by out-of-bounds write when loading PSD images,https://github.com/advisories/GHSA-cfh3-3jmp-rvhc,pillow,12.0.0,python
claude-cookbooks,GHSA-hcc4-c3v8-rx92,Low,AIOHTTP Affected by Denial of Service (DoS) via Unbounded DNS Cache in TCPConnector,https://github.com/advisories/GHSA-hcc4-c3v8-rx92,aiohttp,3.13.2,python
claude-cookbooks,GHSA-3wq7-rqq7-wx6j,Low,AIOHTTP has late size enforcement for non-file multipart fields causes memory DoS,https://github.com/advisories/GHSA-3wq7-rqq7-wx6j,aiohttp,3.13.2,python
claude-cookbooks,GHSA-whj4-6x5x-4v2j,High,FITS GZIP decompression bomb in Pillow,https://github.com/advisories/GHSA-whj4-6x5x-4v2j,pillow,12.0.0,python
claude-cookbooks,GHSA-mqqc-3gqh-h2x8,Low,AIOHTTP has unicode match groups in regexes for ASCII protocol elements,https://github.com/advisories/GHSA-mqqc-3gqh-h2x8,aiohttp,3.13.2,python
claude-cookbooks,GHSA-xm59-rqc7-hhvf,High,nbconvert has an uncontrolled search path that leads to unauthorized code execution on Windows,https://github.com/advisories/GHSA-xm59-rqc7-hhvf,nbconvert,7.16.6,python
claude-cookbooks,GHSA-69f9-5gxw-wvc2,Low,AIOHTTP's unicode processing of header values could cause parsing discrepancies,https://github.com/advisories/GHSA-69f9-5gxw-wvc2,aiohttp,3.13.2,python
claude-cookbooks,GHSA-2vrm-gr82-f7m5,Low,AIOHTTP has CRLF injection through multipart part content type header construction,https://github.com/advisories/GHSA-2vrm-gr82-f7m5,aiohttp,3.13.2,python
claude-cookbooks,GHSA-mwh4-6h8g-pg8w,Low,AIOHTTP has HTTP response splitting via \r in reason phrase,https://github.com/advisories/GHSA-mwh4-6h8g-pg8w,aiohttp,3.13.2,python
claude-cookbooks,GHSA-966j-vmvw-g2g9,Low,AIOHTTP leaks Cookie and Proxy-Authorization headers on cross-origin redirect,https://github.com/advisories/GHSA-966j-vmvw-g2g9,aiohttp,3.13.2,python
claude-cookbooks,GHSA-mf9w-mj56-hr94,Medium,python-dotenv: Symlink following in set_key allows arbitrary file overwrite via cross-device rename fallback,https://github.com/advisories/GHSA-mf9w-mj56-hr94,python-dotenv,1.2.1,python
